s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 1.3060750E+001, 1.7437939E+001, 0.0000000E+000,-4.4256462E+000,-4.5982710E-003,-6.3012340E-001,-2.7527061E-003, 5.0576253E+000, 0.0000000E+000, 1.7320950E+001, 1.7432444E+001, 0.0000000E+000, 8.8750527E-004, 0.0000000E+000, 2.2700459E+002
 1.4002279E+001, 1.8877440E+001, 0.0000000E+000,-4.7846376E+000,-4.9732754E-003,-7.4976271E-001,-2.9645744E-003, 5.4516247E+000, 0.0000000E+000, 1.8675801E+001, 1.8786726E+001, 0.0000000E+000, 9.5719260E-004, 0.0000000E+000, 2.5957111E+002
 1.5037961E+001, 2.0253015E+001, 0.0000000E+000,-5.0826992E+000,-5.3300723E-003,-8.7965032E-001,-3.1807525E-003, 5.8398275E+000, 0.0000000E+000, 2.0004993E+001, 2.0121982E+001, 0.0000000E+000, 1.0271465E-003, 0.0000000E+000, 2.9794728E+002
 1.6064190E+001, 2.1829846E+001, 0.0000000E+000,-5.5120804E+000,-5.7208040E-003,-1.0268988E+000,-3.3938402E-003, 6.2540443E+000, 0.0000000E+000, 2.1442998E+001, 2.1535797E+001, 0.0000000E+000, 1.0994972E-003, 0.0000000E+000, 3.3870547E+002
 1.7081001E+001, 2.3149690E+001, 0.0000000E+000,-5.8594260E+000,-6.0937736E-003,-1.1850949E+000,-3.6130647E-003, 6.5890535E+000, 0.0000000E+000, 2.2583614E+001, 2.2684516E+001, 0.0000000E+000, 1.1712870E-003, 0.0000000E+000, 3.8124905E+002
 1.8013077E+001, 2.4507415E+001, 0.0000000E+000,-6.2427074E+000,-6.4390922E-003,-1.3332021E+000,-3.8378326E-003, 6.9341384E+000, 0.0000000E+000, 2.3785148E+001, 2.3855367E+001, 0.0000000E+000, 1.2401078E-003, 0.0000000E+000, 4.2232425E+002
 1.9029886E+001, 2.5894678E+001, 0.0000000E+000,-6.9248738E+000,-6.7970653E-003,-1.4879572E+000,-4.0528813E-003, 7.1626311E+000, 0.0000000E+000, 2.4546125E+001, 2.4633628E+001, 0.0000000E+000, 1.3087620E-003, 0.0000000E+000, 4.6859416E+002
 2.0046698E+001, 2.7322974E+001, 0.0000000E+000,-7.1339472E+000,-7.1672358E-003,-1.6569577E+000,-4.2724837E-003, 7.5874276E+000, 0.0000000E+000, 2.5993840E+001, 2.6108057E+001, 0.0000000E+000, 1.3805545E-003, 0.0000000E+000, 5.1758521E+002
 2.1063507E+001, 2.8653082E+001, 0.0000000E+000,-7.4870326E+000,-7.5070904E-003,-1.8352680E+000,-4.4987207E-003, 7.9221462E+000, 0.0000000E+000, 2.7166339E+001, 2.7240922E+001, 0.0000000E+000, 1.4520415E-003, 0.0000000E+000, 5.6878512E+002
 2.2080318E+001, 3.0057353E+001, 0.0000000E+000,-7.6733312E+000,-7.8773931E-003,-2.0256617E+000,-4.7270181E-003, 8.3372928E+000, 0.0000000E+000, 2.8568835E+001, 2.8683048E+001, 0.0000000E+000, 1.5238340E-003, 0.0000000E+000, 6.2262983E+002
